qewr,qerwr,asdfsa,2022-07-08 00:36:54.570416979 UTC,adsfasfdsafawefewa
time,x,y,z
2883421348,-901,-76,370
2888421348,-897,-73,361
2893421348,-896,-76,365
2895822492,-899,-70,361
2900822492,-891,-77,362
2905822492,-893,-72,369
2910822492,-898,-76,372
2915822492,-901,-74,363
2920822492,-899,-77,360
2925822492,-898,-75,368
2930822492,-895,-71,369
2935822492,-896,-74,373
2940822492,-893,-73,376
2945822492,-896,-73,378
2950822492,-896,-74,378
2955822492,-897,-76,381
2960822492,-898,-77,385
2965822492,-898,-78,386
2970822492,-896,-73,385
2975822492,-901,-74,384
2980822492,-901,-74,383
2985822492,-901,-77,380
2990822492,-904,-69,381
2995822492,-902,-69,372
3000822492,-904,-72,375
3005822492,-899,-75,366
3010822492,-901,-70,368
3015822492,-902,-73,375
3020822492,-899,-74,374
3025822492,-897,-76,376
3030822492,-902,-73,377
3035822492,-899,-72,373
3040822492,-899,-70,372
3045822492,-898,-73,375
3050822492,-901,-74,373
3055822492,-902,-73,370
3060822492,-901,-75,375
3065822492,-901,-73,374
3070822492,-899,-72,372
3073193098,-903,-70,372
3078193098,-901,-71,373
3083193098,-899,-74,376
3088193098,-904,-66,373
3093193098,-898,-76,376
3098193098,-898,-77,378
3103193098,-899,-71,376
3108193098,-899,-73,381
3113193098,-900,-71,375
3118193098,-897,-68,375
3123193098,-900,-70,373
3128193098,-895,-66,370
3133193098,-898,-71,374
3138193098,-901,-67,376
3143193098,-898,-70,371
3148193098,-897,-67,372
3153193098,-898,-74,375
3158193098,-897,-70,372
3163193098,-900,-70,375
3168193098,-896,-75,373
3173193098,-897,-72,371
3178193098,-900,-73,373
3183193098,-901,-72,372
3188193098,-901,-71,375
3193193098,-900,-70,367
3198193098,-901,-71,364
3203193098,-899,-69,368
3208193098,-896,-68,372
3213193098,-896,-71,369
3218193098,-897,-72,374
3223193098,-899,-72,374
3228193098,-899,-72,373
3233193098,-900,-71,370
3238193098,-902,-67,374
3243193098,-899,-67,374
3248193098,-900,-70,372
3250472166,-898,-72,369
3255472166,-898,-72,371
3260472166,-896,-76,376
3265472166,-894,-75,385
3270472166,-896,-73,389
3275472166,-902,-70,392
3280472166,-912,-58,383
3285472166,-922,-61,366
3290472166,-921,-66,324
3295472166,-911,-81,307
3300472166,-901,-76,329
3305472166,-900,-65,346
3310472166,-900,-63,353
3315472166,-898,-69,360
3320472166,-893,-83,383
3325472166,-896,-81,384
3330472166,-897,-78,376
3335472166,-896,-78,375
3340472166,-889,-77,397
3345472166,-892,-72,415
3350472166,-897,-67,403
3355472166,-911,-63,368
3360472166,-916,-65,347
3365472166,-907,-64,351
3370472166,-897,-71,346
3375472166,-893,-70,353
3380472166,-892,-75,345
3385472166,-891,-77,354
3390472166,-896,-72,363
3395472166,-894,-74,372
3400472166,-898,-76,379
3405472166,-900,-70,377
3410472166,-902,-67,379
3415472166,-898,-71,386
3420472166,-899,-68,388
3425472166,-903,-68,387
3427781756,-906,-74,380
3432781756,-908,-73,388
3437781756,-907,-77,387
3442781756,-907,-78,389
3447781756,-905,-76,385
3452781756,-907,-75,384
3457781756,-907,-72,380
3462781756,-906,-76,374
3467781756,-902,-71,368
3472781756,-898,-71,366
3477781756,-899,-68,362
3482781756,-898,-71,364
3487781756,-896,-68,354
3492781756,-898,-73,358
3497781756,-895,-70,359
3502781756,-893,-75,366
3507781756,-893,-74,370
3512781756,-893,-73,370
3517781756,-896,-75,373
3522781756,-896,-75,373
3527781756,-900,-75,374
3532781756,-897,-73,374
3537781756,-897,-69,374
3542781756,-899,-74,377
3547781756,-901,-73,378
3552781756,-899,-76,377
3557781756,-901,-70,379
3562781756,-906,-75,378
3567781756,-905,-68,383
3572781756,-902,-76,383
3577781756,-906,-73,386
3582781756,-902,-76,377
3587781756,-905,-81,361
3592781756,-904,-81,337
3597781756,-895,-77,378
3602781756,-892,-72,407
3605091336,-896,-63,398
3610091336,-910,-59,381
3615091336,-915,-65,375
3620091336,-908,-70,374
3625091336,-903,-70,373
3630091336,-902,-75,364
3635091336,-902,-72,361
3640091336,-901,-73,358
3645091336,-899,-76,353
3650091336,-903,-73,362
3655091336,-898,-71,360
3660091336,-898,-70,364
3665091336,-897,-73,360
3670091336,-898,-73,372
3675091336,-896,-70,370
3680091336,-897,-71,369
3685091336,-899,-71,368
3690091336,-899,-68,368
3695091336,-899,-69,374
3700091336,-897,-71,375
3705091336,-897,-75,374
3710091336,-901,-70,378
3715091336,-898,-77,380
3720091336,-900,-73,379
3725091336,-904,-76,378
3730091336,-904,-74,377
3735091336,-899,-72,373
3740091336,-906,-76,370
3745091336,-904,-71,369
3750091336,-902,-73,373
3755091336,-902,-72,366
3760091336,-901,-73,366
3765091336,-904,-73,369
3770091336,-904,-75,372
3775091336,-900,-75,371
3780091336,-905,-70,364
3782431408,-900,-74,366
3787431408,-907,-77,360
3792431408,-903,-76,363
3797431408,-907,-81,358
3802431408,-908,-74,368
3807431408,-905,-77,363
3812431408,-902,-79,369
3817431408,-903,-70,370
3822431408,-903,-75,367
3827431408,-903,-75,370
3832431408,-901,-70,371
3837431408,-903,-73,366
3842431408,-901,-70,369
3847431408,-903,-70,371
3852431408,-905,-69,368
3857431408,-901,-69,366
3862431408,-903,-68,365
3867431408,-902,-72,365
3872431408,-900,-69,366
3877431408,-903,-71,364
3882431408,-904,-70,369
3887431408,-900,-72,366
3892431408,-903,-71,372
3897431408,-904,-71,366
3902431408,-901,-71,369
3907431408,-905,-70,366
3912431408,-900,-72,363
3917431408,-904,-68,364
3922431408,-901,-72,366
3927431408,-902,-67,366
3932431408,-901,-73,370
3937431408,-902,-72,365
3942431408,-904,-71,366
3947431408,-904,-73,364
3952431408,-905,-74,365
3957431408,-907,-70,361
3959802034,-906,-69,368
3964802034,-907,-73,364
3969802034,-905,-74,365
3974802034,-906,-73,360
3979802034,-904,-73,359
3984802034,-903,-76,360
3989802034,-903,-71,363
3994802034,-904,-71,361
3999802034,-903,-77,365
4004802034,-904,-73,360
4009802034,-904,-75,363
4014802034,-905,-71,367
4019802034,-903,-73,367
4024802034,-904,-73,364
4029802034,-904,-73,366
4034802034,-907,-68,366
4039802034,-906,-67,366
4044802034,-901,-72,368
4049802034,-902,-73,367
4054802034,-899,-78,367
4059802034,-898,-80,374
4064802034,-899,-75,380
4069802034,-903,-66,384
4074802034,-916,-59,381
4079802034,-922,-60,351
4084802034,-929,-72,303
4089802034,-918,-73,302
4094802034,-902,-70,328
4099802034,-897,-66,363
4104802034,-898,-65,359
4109802034,-901,-73,347
4114802034,-900,-79,361
4119802034,-904,-80,374
4124802034,-901,-81,373
4129802034,-898,-84,373
4134802034,-895,-75,393
4137294726,-896,-77,404
4142294726,-906,-63,392
4147294726,-917,-70,362
4152294726,-919,-71,350
4157294726,-912,-67,344
4162294726,-904,-71,332
4167294726,-897,-72,332
4172294726,-893,-75,336
4177294726,-891,-78,351
4182294726,-896,-76,356
4187294726,-897,-78,366
4192294726,-901,-74,364
4197294726,-903,-67,366
4202294726,-902,-71,373
4207294726,-904,-68,374
4212294726,-906,-69,375
4217294726,-907,-71,379
4222294726,-913,-67,383
4227294726,-917,-69,379
4232294726,-916,-74,379
4237294726,-915,-71,382
4242294726,-913,-76,379
4247294726,-908,-72,372
4252294726,-905,-73,370
4257294726,-908,-69,368
4262294726,-905,-70,358
4267294726,-901,-68,350
4272294726,-901,-70,351
4277294726,-902,-68,350
4282294726,-902,-72,348
4287294726,-898,-65,346
4292294726,-898,-69,350
4297294726,-901,-72,356
4302294726,-900,-73,357
4307294726,-898,-72,355
4312294726,-896,-72,357
4314756886,-902,-72,359
4319756886,-901,-71,363
4324756886,-903,-69,368
4329756886,-900,-75,365
4334756886,-902,-78,373
4339756886,-905,-77,368
4344756886,-905,-74,372
4349756886,-905,-73,373
4354756886,-909,-73,378
4359756886,-911,-70,376
4364756886,-913,-74,374
4369756886,-910,-74,373
4374756886,-910,-74,371
4379756886,-908,-74,363
4384756886,-911,-78,337
4389756886,-908,-74,330
4394756886,-900,-73,372
4399756886,-899,-67,399
4404756886,-909,-63,393
4409756886,-918,-68,370
4414756886,-918,-70,360
4419756886,-911,-74,357
4424756886,-907,-73,359
4429756886,-905,-71,352
4434756886,-905,-77,344
