qewr,qerwr,asdfsa,2022-07-08 00:36:54.570416979 UTC,adsfasfdsafawefewa
time,val
5014685598,142
5022377905,98
5030070212,4
5037762519,-81
5045454826,-121
5053048368,-107
5060740675,-93
5068432982,-100
5076125289,-114
5083817596,-123
5091509903,-105
5099202210,-79
5106894517,-79
5114586824,-107
5122279131,-140
5129971438,-137
5137663745,-100
5145356052,-84
5153048359,-91
5160740666,-63
5168432973,-7
5176125280,30
5183817587,98
5191509894,168
5199202201,56
5206894508,-126
5214586815,-112
5222279122,-39
5229971429,-67
5237663736,-86
5245356043,-58
5253048350,-51
5260740657,-70
5268432964,-95
5276125271,-98
5283817578,-81
5291509885,-72
5299202192,-77
5306894499,-79
5314586806,-65
5322279113,-42
5329971420,-28
5337663727,-14
5345356034,4
5353048341,2
5360740648,-11
5368432955,-14
5376125262,-25
5383817569,-46
5391509876,-44
5399202183,-23
5406894490,-16
5414586797,-18
5422279104,-16
5429971411,-14
5437663718,-2
5445356025,79
5453048332,310
5460740639,752
5468432946,1424
5476125253,1866
5483817560,1125
5491509867,-270
5499202174,-492
5506894481,39
5514586788,-74
5522279095,-294
5529971402,-133
5537663709,-86
5545356016,-151
5553048323,-100
5560740630,-60
5568432937,-77
5576125244,-53
5583817551,-18
5591509858,-9
5599202165,-2
5606894472,9
5614488014,21
5622180321,32
5629872628,49
5637564935,51
5645257242,42
5652949549,58
5660641856,93
5668334163,109
5676026470,95
5683718777,81
5691411084,88
5699103391,100
5706795698,95
5714488005,88
5722180312,81
5729872619,67
5737564926,35
5745257233,-11
5752949540,-56
5760641847,-88
5768334154,-109
5776026461,-121
5783718768,-137
5791411075,-165
5799103382,-172
5806795689,-144
5814487996,-128
5822180303,-126
5829872610,-121
5837564917,-112
5845257224,-98
5852949531,-81
5860641838,-74
5868334145,-77
5876026452,-81
5883718759,-91
5891411066,-105
5899103373,-105
5906795680,-102
5914487987,-107
5922180294,-112
5929872601,-112
5937564908,-109
5945257215,-109
5952949522,-105
5960641829,-100
5968334136,-107
5976026443,-128
5983718750,-147
5991411057,-133
5999103364,-112
6006795671,-112
6014487978,-114
6022180285,-112
6029872592,-98
6037564899,-84
6045257206,-77
6052949513,-72
6060641820,-70
6068334127,-63
6076026434,-53
6083718741,-49
6091411048,-46
6099103355,-39
6106795662,-37
6114487969,-44
6122180276,-46
6129872583,-39
6137564890,-37
6145257197,-32
6152949504,-23
6160641811,-37
6168334118,-65
6175958176,-63
6183650483,-39
6191342790,-35
6199035097,-39
6206727404,-39
6214419711,-25
6222112018,-9
6229804325,-9
6237496632,-25
6245188939,-49
6252881246,-46
6260573553,-28
6268265860,-21
6275958167,-23
6283650474,-18
6291342781,-11
6299035088,-9
6306727395,-9
6314419702,-11
6322112009,-7
6329804316,7
6337496623,11
6345188930,11
6352881237,16
6360573544,14
6368265851,11
6375958158,18
6383650465,4
6391342772,-51
6399035079,-72
6406727386,-42
6414419693,-23
6422112000,-16
6429804307,-2
6437496614,14
6445188921,11
6452881228,-4
6460573535,-2
6468265842,7
6475958149,9
6483650456,9
6491342763,11
6499035070,-2
6506727377,-32
6514419684,-28
6522111991,0
6529804298,-2
6537496605,16
6545188912,172
6552881219,509
6560573526,1053
6568265833,1690
6575958140,1651
6583650447,413
6591342754,-572
6599035061,-217
6606727368,70
6614419675,-252
6622111982,-259
6629804289,-93
6637496596,-144
6645188903,-170
6652881210,-98
6660573517,-84
6668265824,-88
6675958131,-65
6683650438,-63
6691342745,-91
6699035052,-93
6706727359,-72
6714419666,-60
6722111973,-51
6729804280,-30
6737397824,-2
6745090131,23
6752782438,46
6760474745,58
6768167052,60
6775859359,70
6783551666,88
6791243973,100
6798936280,81
6806628587,46
6814320894,35
6822013201,35
6829705508,7
6837397815,-35
6845090122,-81
6852782429,-133
6860474736,-163
6868167043,-165
6875859350,-189
6883551657,-228
6891243964,-233
6898936271,-214
6906628578,-205
6914320885,-191
6922013192,-165
6929705499,-142
6937397806,-130
6945090113,-128
6952782420,-119
6960474727,-102
6968167034,-93
6975859341,-84
6983551648,-74
6991243955,-67
6998936262,-60
7006628569,-51
7014320876,-44
7022013183,-49
7029705490,-58
7037397797,23
7045090104,144
7052782411,93
7060474718,-32
7068167025,-35
7075859332,-9
7083551639,-28
7091243946,-28
7098936253,-39
7106628560,-79
7114320867,-60
7122013174,-2
7129705481,0
7137397788,-18
7145090095,-2
7152782402,16
7160474709,7
7168167016,-21
7175859323,-21
7183551630,18
7191243937,35
7198936244,25
7206628551,28
7214320858,21
7222013165,-7
7229705472,-2
7237397779,32
7245090086,44
7252782393,42
7260474700,53
7268167007,72
7275859314,88
7283551621,65
7291243928,-9
7298837470,-51
7306529777,-39
7314222084,-4
7321914391,72
7329606698,149
7337299005,161
7344991312,158
7352683619,156
7360375926,119
7368068233,74
7375760540,74
7383452847,95
7391145154,95
7398837461,56
7406529768,16
7414222075,14
7421914382,23
7429606689,7
7437298996,-39
7444991303,-93
7452683610,-102
7460375917,-91
7468068224,-105
7475760531,-112
7483452838,-100
7491145145,-95
7498837452,-88
7506529759,-70
7514222066,-58
7521914373,-37
7529606680,93
7537298987,406
7544991294,878
7552683601,1448
7560375908,1648
7568068215,724
7575760522,-492
7583452829,-420
7591145136,65
7598837443,-147
7606529750,-280
7614222057,-100
7621914364,-112
7629606671,-205
7637298978,-161
7644991285,-109
7652683592,-107
7660375899,-86
7668068206,-60
7675760513,-51
7683452820,-37
7691145127,-7
7698837434,18
7706529741,39
7714222048,65
7721914355,86
7729606662,98
7737298969,105
7744991276,105
7752683583,123
7760375890,156
7768068197,172
7775760504,168
7783452811,156
7791145118,144
7798837425,126
7806529732,93
7814222039,46
7821914346,0
7829606653,-49
7837298960,-98
7844991267,-135
7852683574,-149
7860292374,-149
7867984681,-149
7875676988,-144
7883369295,-133
7891061602,-123
7898753909,-128
7906446216,-126
7914138523,-109
7921830830,-114
7929523137,-161
7937215444,-186
7944907751,-156
7952600058,-135
7960292365,-151
7967984672,-168
7975676979,-158
7983369286,-142
7991061593,-126
7998753900,-116
8006446207,-123
8014138514,-126
8021830821,-109
8029523128,-95
8037215435,-98
8044907742,-105
8052600049,-95
8060292356,-86
8067984663,-81
8075676970,-77
8083369277,-84
8091061584,-93
8098753891,-86
8106446198,-81
8114138505,-112
8121830812,-130
8129523119,-100
8137215426,-77
8144907733,-91
8152600040,-95
8160292347,-74
8167984654,-77
8175676961,-93
8183369268,-77
8191061575,-60
8198753882,-63
8206446189,-35
8214138496,-2
8221830803,28
8229523110,53
8237215417,0
8244907724,-86
8252600031,-109
8260292338,-126
8267984645,-144
8275676952,-123
8283369259,-114
8291061566,-133
8298753873,-144
8306446180,-149
8314138487,-142
8321830794,-114
8329523101,-79
8337215408,-39
8344907715,-42
8352600022,-88
8360292329,-119
8367984636,-100
8375676943,14
8383369250,308
8391061557,803
8398753864,1471
8406446171,1786
8414138478,831
8421747280,-534
8429439587,-483
8437131894,133
8444824201,-49
8452516508,-305
8460208815,-137
8467901122,0
8475593429,-21
8483285736,-84
8490978043,-168
8498670350,-149
8506362657,4
8514054964,70
8521747271,30
8529439578,44
8537131885,84
8544824192,88
8552516499,91
8560208806,95
8567901113,121
8575593420,158
8583285727,175
8590978034,158
8598670341,63
8606362648,-32
8614054955,28
8621747262,114
8629439569,98
8637131876,70
8644824183,46
8652516490,11
8660208797,-11
8667901104,-53
8675593411,-130
8683285718,-186
8690978025,-196
8698670332,-179
8706362639,-142
8714054946,-128
8721747253,-168
8729439560,-184
8737131867,-158
8744824174,-154
8752516481,-158
8760208788,-140
8767901095,-119
8775593402,-112
8783285709,-112
8790978016,-119
8798670323,-121
8806362630,-100
8814054937,-74
8821747244,-84
8829439551,-128
8837131858,-154
8844824165,-137
8852516472,-119
8860208779,-128
8867901086,-147
8875593393,-135
8883285700,-112
8890978007,-107
8898670314,-98
8906362621,-93
8914054928,-112
8921747235,-123
8929439542,-109
8937131849,-95
8944824156,-88
8952516463,-74
8960208770,-60
8967901077,-60
8975593384,-79
8983186926,-84
8990879233,-46
8998571540,-18
9006263847,-30
9013956154,-51
9021648461,-53
9029340768,-35
9037033075,2
9044725382,18
9052417689,-35
9060109996,-116
9067802303,-133
9075494610,-102
9083186917,-98
9090879224,-100
9098571531,-81
9106263838,-72
9113956145,-84
9121648452,-86
9129340759,-77
9137033066,-77
9144725373,-39
9152417680,147
9160109987,527
9167802294,1114
9175494601,1765
9183186908,1674
9190879215,366
9198571522,-590
